~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 09:05 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1RCH_0001__SC_1RCH_0001__SC.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 07:48 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
DT US/F ----
GR GAPI ----
CALI IN ----
RHOB G/CC ----
NPHI FRAC ----
DRHO G/CC ----
ILD OHMM ----
SP MV ----
#-----------------------------------------------------------------------------
M M US/F GAPI IN G/CC FRAC G/CC OHMM MV
DEPT DEPT DT GR CALI RHOB NPHI DRHO ILD SP
~Ascii
3172.8156 3172.8156 68.3347 69.7149 8.6914 2.6173 0.1799 0.0429 50.6321 39.7500
3172.6632 3172.6632 69.0619 66.6122 8.6914 2.6084 0.1668 0.0349 55.9187 39.6827
3172.5108 3172.5108 66.9482 59.4878 8.6914 2.5999 0.1377 0.0354 63.1913 39.2960
3172.3584 3172.3584 63.3753 51.0962 8.6914 2.5895 0.0983 0.0311 69.4072 38.5450
3172.2060 3172.2060 60.2001 42.1479 8.6914 2.5952 0.0669 0.0327 77.4166 37.8616
3172.0536 3172.0536 58.5019 35.7566 8.6914 2.6054 0.0454 0.0343 85.0722 37.3598
3171.9012 3171.9012 57.9616 30.9188 8.6914 2.6017 0.0330 0.0251 98.7757 36.8584
3171.7488 3171.7488 57.6819 27.7123 8.6914 2.5997 0.0261 0.0195 115.0415 36.5711
3171.5964 3171.5964 57.4084 25.2746 8.7056 2.6055 0.0216 0.0152 115.9511 36.6780
3171.4440 3171.4440 57.2927 24.0668 8.7264 2.5982 0.0200 0.0077 112.3595 36.2820
3171.2916 3171.2916 57.8759 24.1386 8.6914 2.6001 0.0199 0.0073 105.0659 35.6040
3171.1392 3171.1392 58.8369 25.8918 8.6768 2.5850 0.0202 0.0056 96.3457 34.9544
3170.9868 3170.9868 59.8807 29.8117 8.6567 2.5537 0.0227 -0.0006 86.1028 34.0264
3170.8344 3170.8344 60.6501 34.3974 8.6914 2.5584 0.0273 0.0013 77.9169 33.2005
3170.6820 3170.6820 60.6844 37.4268 8.6914 2.5737 0.0305 0.0121 70.0021 32.4242
3170.5296 3170.5296 60.6394 36.5576 8.6762 2.5812 0.0320 0.0255 65.3647 32.1733
3170.3772 3170.3772 60.3412 35.1090 8.6420 2.5744 0.0329 0.0395 62.3574 31.8454
3170.2248 3170.2248 59.9630 36.6820 8.6573 2.5459 0.0365 0.0350 61.3494 31.5000
3170.0724 3170.0724 60.3435 40.2401 8.6914 2.5313 0.0437 0.0306 61.9191 31.4214
3169.9200 3169.9200 60.9263 41.4296 8.6914 2.5330 0.0457 0.0329 62.6779 31.2500
3169.7676 3169.7676 60.9488 38.0571 8.6914 2.5402 0.0397 0.0289 63.4693 31.1705
3169.6152 3169.6152 60.4046 32.6753 8.6755 2.5616 0.0311 0.0347 63.4693 30.8391
3169.4628 3169.4628 59.4181 28.4060 8.6420 2.5699 0.0258 0.0341 63.2800 30.4187
3169.3104 3169.3104 58.9582 25.2142 8.6420 2.5843 0.0227 0.0341 62.5111 30.0861
3169.1580 3169.1580 58.8590 24.2490 8.6420 2.5956 0.0215 0.0341 61.0042 29.6677
3169.0056 3169.0056 58.9083 26.5254 8.6584 2.5980 0.0223 0.0364 58.2696 29.2503
3168.8532 3168.8532 59.1216 31.2602 8.6914 2.5913 0.0260 0.0431 54.9488 28.6661
3168.7008 3168.7008 59.8230 35.3775 8.6914 2.5816 0.0320 0.0420 51.7008 28.4158
3168.5484 3168.5484 60.3609 36.3675 8.6914 2.5613 0.0386 0.0331 47.4168 28.0798
3168.3960 3168.3960 60.9051 36.0709 8.6914 2.5482 0.0437 0.0299 44.1737 27.7500
3168.2436 3168.2436 61.6837 36.1742 8.6914 2.5401 0.0476 0.0214 41.4117 27.6639
3168.0912 3168.0912 62.1743 36.7359 8.6914 2.5439 0.0509 0.0223 39.4273 27.3260
3167.9388 3167.9388 62.6305 37.6308 8.6914 2.5361 0.0547 0.0183 39.2097 26.9121
3167.7864 3167.7864 62.7110 37.6216 8.6914 2.5290 0.0568 0.0149 40.0728 26.5730
3167.6340 3167.6340 61.9955 35.7229 8.6914 2.5368 0.0528 0.0174 41.4744 26.1611
3167.4816 3167.4816 60.8672 32.2787 8.6914 2.5506 0.0440 0.0291 43.4363 25.8204
3167.3292 3167.3292 59.9169 29.1663 8.6914 2.5569 0.0357 0.0312 45.3332 25.5904
3167.1768 3167.1768 59.4934 27.2550 8.6914 2.5668 0.0317 0.0343 47.8610 25.8408
3167.0244 3167.0244 59.6057 25.6480 8.7095 2.5652 0.0305 0.0327 51.4657 26.1833
3166.8720 3166.8720 59.9075 24.3270 8.7407 2.5723 0.0301 0.0324 54.7835 26.5923
3166.7196 3166.7196 59.9275 23.8541 8.7407 2.5780 0.0298 0.0331 57.7492 26.8427
