Rock Code Depth1(m) RHOB GR SP DT
ARENITO 49.0 2828.8488 2.5704 58.6165 37.722 61.2087
ARENITO 49.0 2829.0012 2.5402 57.9943 36.5398 61.518
ARENITO 49.0 2829.1536 2.5355 57.8266 35.8953 61.749
ARENITO 49.0 2829.306 2.5559 58.554 35.5987 61.749
ARENITO 49.0 2829.4584 2.5432 59.6596 35.3522 61.5784
ARENITO 49.0 2829.6108 2.5341 60.6168 34.7078 61.5795
ARENITO 49.0 2829.7632 2.537 61.1923 34.1659 61.8322
ARENITO 49.0 2829.9156 2.5298 60.484 33.473 62.254
ARENITO 49.0 2830.068 2.5287 58.7548 32.5314 62.7865
ARENITO 49.0 2830.2204 2.5452 57.8642 31.9457 63.0929
ARENITO 49.0 2830.3728 2.5382 57.3382 31.856 63.3026
ARENITO 49.0 2830.5252 2.531 57.1145 32.2611 62.9273
ARENITO 49.0 2830.6776 2.5242 57.8332 33.365 62.1373
ARENITO 49.0 2830.83 2.5337 59.8351 34.3967 61.5747
ARENITO 49.0 2830.9824 2.5467 62.8814 34.9739 61.2404
ARENITO 49.0 2831.1348 2.5597 65.8291 35.0576 61.3559
ARENITO 49.0 2831.2872 2.5577 67.0685 34.8516 61.7656
ARENITO 49.0 2831.4396 2.5619 66.5957 34.6051 62.1321
ARENITO 49.0 2831.592 2.5595 65.9905 35.3931 62.1889
ARENITO 49.0 2831.7444 2.5302 66.0377 36.3818 61.9358
ARENITO 49.0 2831.8968 2.5342 67.2504 37.788 61.3807
ARENITO 49.0 2832.0492 2.552 69.7003 39.4759 60.9501
ARENITO 49.0 2832.2016 2.5787 72.695 41.2052 60.6767
ARENITO 49.0 2832.354 2.5905 74.6264 43.3566 60.4687
ARENITO 49.0 2832.5064 2.5884 75.2998 45.7858 59.8836
ARENITO 49.0 2832.6588 2.5869 74.5924 47.8331 58.9742
ARENITO 49.0 2832.8112 2.6298 73.1146 50.6603 58.0213
ARENITO 49.0 2832.9636 2.6393 71.0444 53.1995 57.3715
ARENITO 49.0 2833.116 2.6224 68.9011 55.6643 57.248
ARENITO 49.0 2833.2684 2.6023 66.3227 57.2775 57.4154
ARENITO 49.0 2833.4208 2.6024 63.6055 58.5452 57.7907
ARENITO 49.0 2833.5732 2.5897 61.7498 59.5621 58.0596
ARENITO 49.0 2833.7256 2.5878 60.8823 60.3341 58.4858
ARENITO 49.0 2833.878 2.5904 60.2836 60.4244 58.7169
ARENITO 49.0 2834.0304 2.6119 60.3606 60.2071 58.8288
ARENITO 49.0 2834.1828 2.6059 60.5988 60.1781 59.0618
ARENITO 49.0 2834.3352 2.579 60.3342 59.7402 59.5792
