WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        SN         DT         TT1        TT2        TT3        TT4        TENS   
M          GAPI       IN         OHMM       OHMM       US/F       US         US         US         US         LB     
1808.732   49.6000    17.71000   20.0       13.83566   69.80000   368.0000   408.0000   517.0000   534.0000   1962   
1808.580   49.5000    17.68000   19.8       13.77210   68.89999   375.0000   398.0000   517.0000   531.0000   1964   
1808.427   50.2000    17.71000   19.5       13.74042   69.09999   380.0000   386.0000   519.0000   525.0000   1964   
1808.275   50.9000    17.71000   19.2       13.70882   69.80000   385.0000   377.0000   523.0000   520.0000   1966   
1808.123   51.4000    17.73000   18.9       13.64583   70.59999   392.0000   366.0000   527.0000   516.0000   1968   
1807.970   50.5000    17.73000   18.7       13.64583   70.73137   436.0000   358.0000   530.0000   514.0000   1970   
1807.818   48.1000    17.73000   18.4       13.55000   69.89999   421.0000   355.0000   529.0000   510.0000   1963   
1807.665   46.2000    17.72000   18.1       13.48000   69.20000   412.0000   352.0000   528.0000   515.0000   1958   
1807.513   44.4000    17.72000   18.1       13.42000   68.30000   409.0000   355.0000   528.0000   516.0000   1968   
1807.360   44.9000    17.69000   17.6       13.30454   67.50000   408.0000   361.0000   522.0000   522.0000   1966   
1807.208   41.0000    17.69000   17.3       13.03167   69.30000   390.0000   367.0000   522.0000   526.0000   1963   
1807.056   38.4000    17.71000   16.9       12.76439   72.50000   371.0000   373.0000   521.0000   531.0000   1963   
1806.903   40.1000    17.70000   16.6       12.58925   75.89999   362.0000   379.0000   530.0000   529.0000   1961   
1806.751   45.3000    17.74000   16.4       12.38797   78.80000   365.0000   381.0000   538.0000   532.0000   1961   
1806.598   51.0000    17.77000   16.3       12.33105   81.09999   369.0000   379.0000   539.0000   540.0000   1961   
1806.446   55.8000    17.77000   16.3       12.33105   82.00000   373.0000   379.0000   538.0000   544.0000   1961   
1806.294   58.7000    17.76000   16.4       12.35948   81.50000   377.0000   381.0000   540.0000   544.0000   1960   
1806.141   59.2000    17.85000   16.5       12.35948   80.09999   382.0000   384.0000   543.0000   540.0000   1962   
1805.989   57.4000    17.85000   16.6       12.35948   78.50000   387.0000   387.0000   545.0000   541.0000   1961   
1805.836   53.0000    17.77000   16.5       12.41652   77.00000   391.0000   391.0000   544.0000   543.0000   1962   
1805.684   48.6000    17.62000   16.3       12.38797   75.89999   392.0000   389.0000   545.0000   539.0000   1964   
1805.532   47.4000    17.59000   16.1       12.30269   76.20000   390.0000   382.0000   549.0000   536.0000   1966   
1805.379   49.6000    17.59000   15.8       12.24616   77.89999   390.0000   378.0000   552.0000   535.0000   1966   
1805.227   52.0000    17.62000   15.5       12.13389   79.39999   392.0000   378.0000   555.0000   538.0000   1966   
1805.074   51.5000    17.62000   14.9       12.02265   80.00000   395.0000   378.0000   556.0000   539.0000   1966   
1804.922   48.5000    17.64000   14.4       11.93988   79.70000   399.0000   376.0000   555.0000   538.0000   1966   
1804.770   45.4000    17.66000   13.8       11.83042   79.20000   401.0000   379.0000   553.0000   542.0000   1966   
1804.617   44.8000    17.68000   13.3       11.77606   78.80000   402.0000   382.0000   552.0000   547.0000   1963   
1804.465   46.4000    17.72000   12.9       11.64126   78.80000   399.0000   387.0000   553.0000   550.0000   1961   
1804.312   47.2000    17.72000   12.6       11.58777   79.00000   393.0000   394.0000   553.0000   552.0000   1961   
1804.160   44.9000    17.73000   12.4       11.50801   79.50000   388.0000   398.0000   554.0000   553.0000   1960   
