WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       BIT        GR         FFDC       NFDC       RHOB       DRHO        FCNL       NCNL       NPHI       TENS       
M          IN         IN         GAPI       CPS        CPS        G/CC       G/CC        CPS        CPS        LS         LB         
5890.919   9.46333    8.500000   23.0806    538.545    621.4777   2.317737   0.157191    740.292    714.4520   1.8851     5989.895   
5890.767   9.78558    8.500000   26.9416    547.616    620.3507   2.305527   0.152353    712.048    711.6091   2.0042     6033.814   
5890.614   9.87347    8.500000   30.5844    541.456    614.5247   2.305716   0.146815    703.061    707.4053   2.0714     6046.624   
5890.462   9.88811    8.500000   32.9601    528.385    610.2932   2.313900   0.145988    702.495    701.9117   2.0061     6085.055   
5890.309   9.87347    8.500000   33.8011    524.424    610.7031   2.324147   0.148046    703.907    693.4185   1.8715     6117.689   
5890.156   9.89727    8.500000   33.2707    521.143    616.8331   2.334671   0.157555    689.251    666.0742   1.7261     6131.720   
5890.004   9.88811    8.500000   31.6481    521.684    625.0876   2.344966   0.168334    651.240    627.2002   1.7262     6109.455   
5889.852   9.72699    8.500000   29.0725    520.272    629.2410   2.339839   0.174348    604.377    595.6543   2.0175     6111.590   
5889.699   9.52192    8.500000   25.9007    550.057    631.0608   2.307972   0.165611    569.466    583.4462   2.5820     6114.335   
5889.547   11.13315   8.500000   23.6336    588.703    629.4038   2.256573   0.149871    557.385    594.2355   2.2689     6103.965   
5889.395   11.29428   8.500000   22.1315    633.701    632.0659   2.209695   0.138640    566.963    618.2816   2.5395     6174.115   
5889.242   10.75232   8.500000   21.9052    663.161    639.8397   2.180735   0.139662    574.583    631.2731   2.9128     6200.955   
5889.090   10.63880   8.500000   22.5363    678.665    647.0582   2.172686   0.144315    573.799    633.0854   3.0288     6250.975   
5888.938   10.59119   8.500000   23.7185    670.530    648.2257   2.175194   0.148214    568.945    626.6685   2.9068     6282.694   
5888.785   10.56190   8.500000   25.4374    668.145    646.0042   2.184235   0.146089    561.890    616.1931   2.8819     6291.845   
5888.633   10.38613   8.500000   28.5551    648.313    644.7185   2.202181   0.150465    547.485    599.8461   2.9599     6263.479   
5888.480   10.04924   8.500000   31.5198    622.949    642.9575   2.227029   0.156179    530.384    575.9609   3.1986     6145.750   
5888.328   9.70941    8.500000   32.3227    602.703    638.7406   2.244119   0.157343    504.260    548.7596   3.5978     6047.234   
5888.176   10.09318   8.500000   30.0686    592.205    627.6292   2.224298   0.146350    465.410    517.1080   3.7169     6022.225   
5888.023   9.77093    8.500000   26.1749    647.833    611.7906   2.145341   0.107287    415.224    484.3309   5.0281     6033.204   
5887.871   13.75507   8.500000   22.7157    745.954    593.4498   2.025886   0.053952    361.835    454.3027   4.5428     6072.244   
5887.718   14.39590   8.500000   22.1708    851.942    582.6736   1.912911   0.012258    318.315    432.2578   5.7731     6122.265   
5887.565   14.34097   8.500000   22.8148    930.053    575.8302   1.834116   -0.015033   297.018    417.7214   6.7498     6149.715   
5887.413   14.29703   8.500000   24.4672    971.445    573.2809   1.796194   -0.027403   289.804    411.0118   7.0499     6161.915   
5887.261   14.23843   8.500000   25.7238    965.499    571.9767   1.786699   -0.028057   284.525    400.4653   6.9793     6180.215   
5887.108   14.19449   8.500000   26.9437    971.035    574.0010   1.786380   -0.026280   280.634    391.1423   6.8827     6171.675   
