~VERSION_INFORMATION
DLM  SPACE :ColumnDataSectionDelimiterCharacter
PROD  Schlumberger :LAS_Producer
PROG  DLIS_to_ASCII 2.3 :LAS_Program_name_and_version
CREA.  2019-Aug-19 15:17 :LAS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
SOURCE  1API_0001__PR_1API_0001__PR.dlis :DLIS_File_Name
DLIS_CREA  2019-Aug-19 15:16 :DLIS_Creation_date_and_time_{YYYY-MMM-DD hh:mm}
#-----------------------------------------------------------------------------
~WELL_INFORMATION
NULL  -999.250000  :NULL_VALUE
COMP   :COMPANY
WELL   :WELL
FLD   :FIELD
LOC   :LOCATION
CTRY   :COUNTRY
DATE   :LOG_DATE
SRVC  Schlumberger :SERVICE COMPANY
LATI .DEG  :LATITUDE
LONG DEG  :LONGITUDE
GDAT   :GeoDetic Datum
~CURVE_INFORMATION
DEPT M DEPTH_(BOREHOLE)
DEPT M ----
CAL2 IN ----
RB ---- ----
GR ---- ----
CALI IN ----
#-----------------------------------------------------------------------------
M M IN ---- ---- IN
DEPT DEPT CAL2 RB GR CALI
~Ascii
4252.5696 4252.5696 9.3800 32.0000 72.8000 15.0900
4252.4172 4252.4172 9.3800 32.0000 72.3872 15.0900
4252.2648 4252.2648 9.3800 36.0000 70.9000 15.0900
4252.1124 4252.1124 9.3800 32.0000 67.8000 15.0700
4251.9600 4251.9600 9.3800 32.0000 66.2824 15.0700
4251.8076 4251.8076 9.0800 36.0000 62.7000 9.7100
4251.6552 4251.6552 9.0800 36.0000 61.2000 9.7100
4251.5028 4251.5028 9.0800 41.0000 58.8000 9.7100
4251.3504 4251.3504 9.0800 41.0000 58.4000 9.7100
4251.1980 4251.1980 9.0800 48.0000 56.5301 9.7100
4251.0456 4251.0456 9.0800 48.0000 56.3000 9.7100
4250.8932 4250.8932 9.0800 48.0000 57.2000 9.7400
4250.7408 4250.7408 9.0500 44.0000 57.9000 9.7400
4250.5884 4250.5884 8.9600 48.0000 62.9239 9.8275
4250.4360 4250.4360 8.9600 48.0000 64.7000 10.2269
4250.2836 4250.2836 9.1172 48.0000 68.0875 10.1772
4250.1312 4250.1312 9.4387 51.0000 70.0000 10.2800
4249.9788 4249.9788 9.3800 51.0000 71.5483 10.3300
4249.8264 4249.8264 9.3800 51.0000 71.6000 10.3300
4249.6740 4249.6740 9.3500 51.0000 70.7000 10.3436
4249.5216 4249.5216 9.3582 51.0000 68.4000 10.3600
4249.3692 4249.3692 9.4359 50.0000 65.5473 10.3600
4249.2168 4249.2168 9.6300 50.0000 63.0000 10.3300
4249.0644 4249.0644 9.5600 53.0000 59.4167 10.3000
4248.9120 4248.9120 9.5300 56.0000 59.1000 10.3000
4248.7596 4248.7596 9.5000 57.9435 60.0000 10.3300
4248.6072 4248.6072 9.5000 57.0000 62.2091 10.3300
