WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       FFDC       NFDC       RHOB       DRHO        NPHI       FCNL       NCNL        TENS       
M          GAPI       IN         CPS        CPS        G/CC       G/CC        %LS        CPS        CPS         LB         
4025.238   28.8000    17.39000   1108.400   614.2999   1.738000   -0.031000   40.06000   88.1000    307.5000    4634.000   
4025.085   28.5000    17.40000   1199.900   610.5000   1.685000   -0.047000   34.46000   122.5000   254.3000    4501.000   
4024.933   27.9000    17.40000   1277.300   607.2999   1.633000   -0.059000   27.09000   126.0000   272.0000    4187.000   
4024.781   27.6000    17.41000   1322.400   605.5000   1.600000   -0.067000   22.26000   130.1000   278.7000    4187.000   
4024.628   28.0000    17.40000   1348.700   602.2000   1.579000   -0.072000   19.15000   130.8000   280.6000    4114.000   
4024.476   28.3000    17.40000   1367.800   600.0000   1.568000   -0.069000   17.50000   140.8000   319.3000    4201.000   
4024.323   28.6000    17.41000   1351.200   602.7000   1.585000   -0.048000   16.73000   151.6000   302.1000    4272.000   
4024.171   28.4000    17.38000   1238.200   608.9000   1.659000   -0.009000   16.32000   156.9000   305.3000    4330.000   
4024.019   27.6000    17.40000   1044.400   616.7999   1.788000   0.028000    15.99000   149.4000   294.6000    4390.000   
4023.866   27.1000    17.40000   876.700    622.6000   1.907000   0.038000    16.16000   130.8000   292.4000    4449.000   
4023.714   27.0000    17.41000   849.200    620.2000   1.930000   0.011000    17.38000   119.3000   274.1000    4503.000   
4023.562   27.4000    17.40000   988.800    608.2999   1.834000   -0.036000   20.03000   94.6000    251.6000    4547.000   
4023.409   28.3000    17.39000   1201.300   595.7000   1.685000   -0.077000   23.94000   81.7000    238.0000    4586.000   
4023.256   29.1000    17.41000   1379.200   592.6000   1.566000   -0.096000   28.80000   73.9000    233.3000    4502.000   
4023.104   29.0000    17.40000   1463.600   598.6000   1.508000   -0.095000   34.11000   75.2000    233.3000    4634.000   
4022.952   27.7000    17.40000   1479.000   607.5000   1.496000   -0.087000   37.33000   76.3000    230.1000    4696.000   
4022.799   25.5000    17.40000   1516.500   610.7000   1.492000   -0.089000   39.74000   65.9000    209.5000    4799.000   
4022.647   24.4000    17.40000   1541.100   603.7000   1.478000   -0.098000   42.20000   58.5000    203.2000    4613.000   
4022.495   23.2000    17.41000   1554.000   598.0000   1.464000   -0.105000   45.96000   56.9000    198.9000    4240.000   
4022.342   22.9000    17.40000   1557.800   596.9000   1.455000   -0.108000   50.56000   51.0000    201.0000    4105.000   
4022.190   23.7000    17.40000   1561.600   598.7999   1.451000   -0.107000   55.64000   47.8000    188.2000    4118.000   
4022.037   24.7000    17.40000   1565.800   601.2999   1.450000   -0.105000   59.93999   54.2000    194.6000    4118.000   
4021.885   25.6000    17.41000   1572.700   602.4000   1.449000   -0.104000   61.05000   53.1000    191.5000    4220.000   
4021.732   26.2000    17.40000   1581.600   602.0000   1.447000   -0.105000   59.93999   47.3000    185.2000    4270.000   
4021.580   26.5000    17.40000   1584.000   601.6000   1.446000   -0.105000   59.98000   47.3000    192.6000    4318.000   
4021.428   26.5000    17.40000   1577.500   602.0000   1.448000   -0.102000   61.68999   50.5000    188.4000    4327.000   
4021.275   25.9000    17.40000   1567.400   603.1000   1.454000   -0.099000   61.37000   55.7000    194.6000    4281.000   
4021.123   25.6000    17.41000   1555.400   603.0000   1.464000   -0.094000   57.17000   53.1000    197.8000    4245.000   
4020.971   26.5000    17.40000   1523.000   600.7999   1.481000   -0.088000   51.86000   63.8000    202.1000    4237.000   
4020.818   28.2000    17.41000   1460.100   598.4000   1.510000   -0.082000   47.92000   59.5000    203.2000    4297.000   
4020.666   29.3000    17.40000   1391.200   599.1000   1.543000   -0.074000   46.85000   51.6000    192.4000    4323.000   
4020.513   28.9000    17.41000   1344.100   603.9000   1.570000   -0.066000   48.57000   54.8000    194.6000    4313.000   
4020.361   27.4000    17.41000   1320.000   608.6000   1.592000   -0.056000   50.81000   57.4000    189.3000    4269.000   
4020.208   26.3000    17.38000   1296.500   610.9000   1.612000   -0.048000   51.10000   55.3000    193.6000    4239.000   
4020.056   26.5000    16.99000   1270.200   612.7000   1.630000   -0.042000   50.28000   52.1000    186.1000    4295.000   
4019.904   27.4000    16.87000   1258.300   615.4000   1.640000   -0.042000   49.64000   56.3000    190.5000    4328.000   
4019.751   27.2000    16.82000   1269.700   616.2000   1.634000   -0.049000   49.09000   55.7000    190.4000    4347.000   
4019.599   26.1000    16.63000   1315.100   612.2999   1.606000   -0.064000   46.88000   62.7000    193.6000    4342.000   
4019.446   25.4000    17.41000   1392.400   607.1000   1.563000   -0.077000   41.57000   69.1000    196.8000    4342.000   
