WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       SP           GR         LLD         LLS         RLLD        RLLS        TENS       
M          MV           GAPI       OHMM        OHMM        OHMM        OHMM        LB         
3986.528   46.90000     88.9000    115.8777    109.3956    114.0249    106.9055    4289.000   
3986.375   46.60000     97.1000    104.2317    98.8553     95.9401     90.5733     4275.000   
3986.223   47.60000     99.0000    95.7194     91.6221     90.5733     86.4968     4266.000   
3986.071   48.20000     97.1000    90.5733     87.4984     89.9498     87.4984     4254.000   
3985.918   47.50000     97.6000    88.9201     86.6962     88.7156     86.8960     4264.000   
3985.766   47.80000     103.7000   87.9023     86.2979     88.1049     86.2979     4262.000   
3985.614   48.50000     112.0000   86.2979     85.1138     87.9023     86.6962     4264.000   
3985.461   48.40000     116.6000   85.1138     83.9460     85.5067     84.1395     4264.000   
3985.309   48.80000     117.1000   84.3335     83.3681     81.6582     82.0352     4280.000   
3985.157   49.40000     117.0000   83.3681     82.2243     83.1764     81.4704     4284.000   
3985.004   49.60000     117.3000   83.1764     81.8465     83.7529     82.7942     4291.000   
3984.852   50.50000     118.2000   83.9460     82.0352     83.1764     81.2830     4269.000   
3984.699   51.30000     118.6000   85.3100     83.1764     84.5279     81.6582     4264.000   
3984.547   51.00000     116.4000   87.9023     85.5067     85.7038     83.1764     4256.000   
3984.395   50.70000     110.6000   92.4698     89.7429     89.9498     87.2971     4248.000   
3984.242   50.80000     104.1000   98.4011     95.4993     96.8278     94.1889     4261.000   
3984.090   51.60000     101.4000   106.9055    103.5142    105.9254    103.0386    4286.000   
3983.938   51.10000     99.2000    117.2195    112.9796    114.5513    110.4079    4308.000   
3983.785   50.60000     94.5000    127.9382    122.7439    127.9382    123.5947    4323.000   
3983.632   51.00000     89.6000    136.7729    130.6171    141.5794    133.9677    4346.000   
3983.480   50.60000     87.8000    143.5490    136.4583    151.0080    143.5490    4362.000   
3983.328   50.40000     88.2000    146.2177    138.6756    149.9685    142.8894    4379.000   
3983.175   50.70000     85.2000    145.2111    137.7209    148.5935    138.9952    4411.000   
3983.023   50.20000     78.5000    140.2814    133.3521    141.5794    135.5189    4425.000   
3982.871   50.00000     72.3000    133.3521    127.0574    135.8313    128.2331    4419.000   
3982.718   50.00000     69.0000    118.8502    114.0249    125.8925    121.8989    4454.000   
3982.566   50.30000     71.3000    100.2305    96.6051     115.3453    110.6624    4385.000   
3982.413   50.10000     82.1000    79.2501     77.2681     76.7361     74.9894     4288.000   
3982.261   50.20000     101.2000   58.0764     57.1479     48.0839     48.3059     4250.000   
3982.108   50.80000     120.8000   37.9315     38.0189     30.4789     30.8319     4255.000   
3981.956   50.00000     131.4000   25.0035     25.4683     20.1372     20.9894     4273.000   
3981.804   48.60000     132.6000   17.9887     18.6638     14.5546     15.1008     4291.000   
3981.651   47.50000     130.0000   14.9968     15.8125     12.0504     12.3595     4297.000   
3981.499   45.40000     123.1000   14.8252     15.8125     12.8233     14.1579     4289.000   
3981.347   42.10000     107.2000   17.4582     18.7499     15.4882     16.6341     4281.000   
3981.194   39.80000     83.9000    22.5944     24.2661     19.3197     20.9411     4252.000   
3981.042   37.20000     62.5000    26.9774     28.9734     27.7971     29.7852     4264.000   
3980.889   35.10000     51.0000    30.4089     32.6588     37.5837     40.0867     4267.000   
3980.737   33.00000     48.7000    32.7341     35.0752     34.9140     37.5837     4268.000   
3980.584   31.50000     50.9000    33.1894     35.3997     32.7341     34.9945     4261.000   
3980.432   30.00000     54.4000    32.2107     34.1193     30.9030     33.0370     4247.000   
3980.280   28.80000     58.4000    32.8095     34.1979     29.8538     31.3329     4252.000   
3980.127   27.70000     63.3000    35.2371     36.1410     32.8095     34.0408     4257.000   
3979.975   26.60000     68.7000    39.6278     40.0867     38.0189     37.7572     4259.000   
3979.823   25.00000     70.6000    46.0257     45.9198     44.8745     44.7713     4264.000   
3979.670   24.00000     66.4000    53.2108     52.9663     52.9663     52.9663     4259.000   
3979.518   23.40000     59.2000    60.6736     60.1174     61.5177     60.3949     4269.000   
3979.365   22.30000     54.5000    66.9884     66.6807     68.7068     69.3426     4269.000   
3979.213   21.80000     54.0000    72.6106     72.2770     75.5092     73.6207     4284.000   
3979.061   21.70000     55.2000    76.5596     76.7361     76.3836     77.4462     4274.000   
3978.908   21.30000     55.2000    78.3430     79.0679     81.2830     80.9096     4259.000   
3978.756   20.20000     53.4000    77.6247     79.0679     81.2830     83.1764     4247.000   
3978.604   20.20000     49.8000    74.6449     76.7361     77.9830     81.0961     4267.000   
3978.451   20.30000     45.7000    70.1455     72.9458     71.4496     73.1139     4290.000   
3978.298   19.50000     43.5000    62.3735     65.4636     61.9441     65.4636     4301.000   
3978.146   19.60000     43.1000    52.2396     55.3350     58.3445     62.3735     4327.000   
3977.994   20.70000     42.7000    42.0727     45.4988     42.6580     45.3942     4330.000   
3977.841   20.20000     41.2000    33.9625     37.1535     26.8534     30.3389     4329.000   
3977.689   20.50000     39.5000    26.6686     29.7167     21.0378     24.0991     4308.000   
3977.537   21.60000     38.7000    22.7510     26.1818     21.0378     23.6048     4306.000   
3977.384   22.80000     39.6000    22.7510     26.3633     21.7771     25.4683     4316.000   
3977.232   23.50000     42.6000    25.5270     29.7167     23.1739     27.4789     4311.000   
3977.079   25.20000     50.2000    30.6902     36.1410     26.7917     31.4051     4306.000   
3976.927   27.30000     65.3000    38.2825     44.8745     34.9140     40.7380     4301.000   
