WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       ILD        ILM        LL3         DT         TENS   
M          GAPI       IN         OHMM       OHMM       OHMM        US/F       LB     
3381.500   37.8000    12.98000   446.7      86.9       213.7963    50.50000   3789   
3381.348   36.6000    12.87000   390.8      87.5       221.3095    49.80000   3781   
3381.195   35.1000    13.00000   373.3      90.6       239.3316    49.10000   3795   
3381.043   34.1000    12.95000   374.1      94.8       265.4606    48.80000   3802   
3380.891   33.8000    12.57000   408.3      97.5       292.4153    48.80000   3805   
3380.738   34.4000    12.49000   459.2      98.6       312.6080    48.90000   3804   
3380.586   35.5000    12.29000   466.7      100.5      325.8368    49.40000   3789   
3380.433   36.1000    12.19000   440.6      104.0      331.8945    49.90000   3793   
3380.281   35.3000    12.20000   408.3      107.6      338.0649    50.10000   3807   
3380.128   33.8000    12.21000   411.1      108.9      335.7377    49.70000   3797   
3379.976   32.6000    12.31000   412.1      109.1      323.5938    49.10000   3786   
3379.824   32.4000    12.28000   377.6      109.9      298.5383    49.10000   3792   
3379.671   33.6000    12.29000   327.3      109.6      267.3007    49.50000   3790   
3379.519   34.7000    12.33000   317.7      107.2      242.6611    49.80000   3798   
3379.367   34.9000    12.59000   328.9      103.3      229.0868    50.10000   3813   
3379.214   34.3000    12.64000   307.6      100.9      226.9865    50.90000   3804   
3379.062   33.8000    12.57000   279.9      102.1      226.9865    51.70000   3786   
3378.909   34.4000    12.51000   262.4      104.0      228.0343    52.10000   3779   
3378.757   35.4000    12.58000   275.4      102.3      229.0868    52.10000   3772   
3378.604   35.7000    12.61000   300.6      97.3       232.2737    51.70000   3825   
3378.452   34.9000    12.75000   310.5      92.7       236.0479    51.10000   3829   
3378.300   33.9000    12.67000   291.7      91.2       238.7812    50.70000   3804   
3378.147   34.4000    12.41000   261.2      92.0       240.9906    50.50000   3776   
3377.995   36.0000    12.41000   248.3      95.3       242.6611    50.30000   3774   
3377.842   37.3000    12.40000   263.0      100.7      244.9064    50.00000   3809   
3377.690   37.8000    12.37000   306.2      107.2      251.1887    50.20000   3827   
3377.538   38.0000    12.39000   338.8      111.7      264.2409    51.00000   3821   
3377.385   38.4000    12.34000   354.0      110.4      281.8384    51.60000   3786   
3377.233   39.0000    12.40000   354.0      104.5      300.6077    51.20000   3764   
3377.081   38.5000    12.98000   352.4      100.9      321.3661    50.00000   3758   
3376.928   37.2000    12.67000   351.6      105.4      339.6254    49.00000   3787   
3376.776   36.2000    12.26000   354.0      119.7      350.7520    48.90000   3796   
3376.624   36.1000    12.20000   383.7      134.0      353.9974    49.10000   3807   
3376.471   36.8000    12.24000   478.6      134.3      357.2729    49.40000   3782   
3376.318   37.9000    12.25000   528.4      125.0      358.9220    50.20000   3775   
3376.166   38.7000    12.24000   456.0      120.8      353.1832    50.90000   3803   
3376.014   38.3000    12.24000   384.6      124.7      336.5117    50.60000   3803   
3375.861   36.9000    12.41000   381.9      131.8      314.7749    50.00000   3793   
3375.709   35.8000    12.92000   394.5      134.0      294.4422    49.60000   3790   
3375.557   35.7000    12.72000   413.0      132.1      279.2545    49.40000   3791   
3375.404   36.1000    12.55000   381.1      131.2      270.3959    49.30000   3793   
3375.252   36.5000    12.58000   364.8      133.4      267.9169    49.40000   3790   
3375.099   36.7000    13.10000   364.8      135.2      266.0726    49.40000   3789   
3374.947   36.0000    12.84000   382.8      134.3      269.7740    49.60000   3789   
3374.794   35.1000    12.97000   387.3      131.8      279.2545    50.10000   3776   
3374.642   34.8000    12.50000   358.9      128.8      292.4153    50.50000   3778   
3374.490   35.0000    12.26000   329.6      124.5      301.3007    50.80000   3776   
3374.337   34.8000    12.30000   329.6      118.6      304.7896    50.80000   3779   
3374.185   34.1000    12.31000   368.1      114.3      305.4922    50.50000   3769   
3374.033   34.2000    12.31000   433.5      113.0      307.6097    50.10000   3781   
3373.880   35.4000    12.30000   494.3      114.3      311.8890    50.00000   3798   
3373.728   37.1000    12.30000   486.4      116.4      315.5005    49.90000   3775   
3373.575   38.8000    12.31000   438.5      118.0      320.6270    49.90000   3774   
3373.423   39.8000    12.32000   437.5      123.6      328.0954    49.90000   3785   
3373.271   39.9000    12.35000   438.5      139.0      337.2874    50.00000   3808   
3373.118   39.5000    12.27000   427.6      168.3      338.0649    50.00000   3798   
3372.966   39.7000    12.26000   400.9      204.2      334.1951    50.10000   3785   
3372.813   40.1000    12.29000   387.3      206.5      328.0954    50.50000   3804   
3372.661   40.5000    12.64000   403.6      166.3      328.8517    51.30000   3774   
3372.508   41.0000    12.81000   391.7      126.2      336.5117    52.20000   3774   
3372.356   41.3000    13.62000   354.0      103.8      351.5605    52.00000   3806   
3372.204   41.3000    13.05000   339.6      95.1       368.1291    51.60000   3821   
3372.051   41.2000    12.63000   356.5      95.9       381.9443    51.60000   3813   
3371.899   41.7000    12.56000   362.2      101.4      389.9421    51.20000   3778   
