WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       SP         GR         CALI       ILD        SN         TENS       
M          MV         GAPI       IN         OHMM       OHMM       LB         
3992.319   49.90000   104.6000   8.96000    38.8       31.76874   4699.000   
3992.167   51.70000   109.0000   8.97000    40.0       31.62278   4689.000   
3992.015   53.20000   112.8000   8.98000    40.8       31.55004   4325.000   
3991.862   53.70000   116.5000   8.97000    40.4       31.11716   4180.000   
3991.710   54.10000   116.2000   8.97000    39.0       30.54921   4281.000   
3991.557   55.80000   112.6000   8.98000    37.7       29.99162   4347.000   
3991.405   55.70000   109.3000   8.97000    37.3       29.51209   4396.000   
3991.252   55.90000   108.7000   8.99000    38.1       29.10717   4449.000   
3991.100   55.60000   110.0000   9.02000    38.8       28.90680   4457.000   
3990.948   56.00000   110.9000   9.00000    39.1       28.97343   4440.000   
3990.795   55.10000   109.6000   9.00000    39.2       29.10717   4409.000   
3990.643   55.10000   105.7000   9.01000    39.4       29.24152   4371.000   
3990.491   55.30000   103.4000   9.01000    39.4       29.58012   4319.000   
3990.338   54.80000   103.7000   9.00000    39.6       30.13006   4347.000   
3990.186   55.30000   101.6000   9.01000    40.1       30.90295   4364.000   
3990.033   54.90000   91.9000    9.00000    41.1       31.69568   4425.000   
3989.881   54.00000   77.6000    9.00000    44.0       32.50873   4412.000   
3989.729   52.70000   66.9000    9.00000    50.9       33.34264   4454.000   
3989.576   52.30000   63.7000    8.99000    64.9       34.11929   4422.000   
3989.424   51.60000   65.8000    9.00000    82.8       34.67368   4439.000   
3989.271   49.60000   69.3000    8.99000    94.2       35.23709   4386.000   
3989.119   49.20000   70.9000    8.99000    98.2       35.80965   4355.000   
3988.966   48.50000   70.1000    9.00000    99.1       36.47540   4278.000   
3988.814   47.80000   68.0000    8.99000    100.0      36.98281   4296.000   
3988.662   47.00000   65.6000    8.99000    103.3      37.58374   4328.000   
3988.509   47.60000   63.2000    8.98000    103.3      38.10658   4372.000   
3988.357   46.70000   64.2000    8.99000    101.2      38.63670   4420.000   
3988.205   46.50000   70.3000    9.00000    97.7       39.08409   4435.000   
3988.052   46.30000   75.7000    8.99000    98.2       39.35501   4406.000   
3987.900   46.20000   74.3000    9.00000    100.5      39.53666   4400.000   
3987.748   45.30000   67.6000    9.00000    105.7      39.71915   4358.000   
3987.595   44.80000   61.9000    9.00000    114.0      39.90248   4337.000   
3987.442   45.50000   60.2000    8.98000    118.9      40.17908   4318.000   
3987.290   46.30000   61.4000    9.00000    119.1      40.45759   4272.000   
3987.138   45.60000   63.9000    9.00000    114.3      40.73803   4324.000   
3986.985   45.80000   64.3000    9.00000    115.9      40.83193   4390.000   
3986.833   45.70000   62.1000    8.98000    119.7      40.83193   4430.000   
3986.681   45.60000   60.5000    9.00000    114.6      40.83193   4474.000   
3986.528   45.40000   61.2000    9.00000    102.6      40.64433   4499.000   
3986.375   46.60000   65.1000    8.99000    91.6       40.55086   4545.000   
3986.223   46.50000   71.9000    8.98000    86.9       40.45759   4431.000   
3986.071   46.50000   79.1000    9.00000    87.1       40.36453   4325.000   
3985.918   47.10000   83.7000    8.99000    86.5       40.17908   4242.000   
3985.766   47.20000   84.8000    9.00000    83.9       39.90248   4242.000   
3985.614   47.40000   85.0000    8.99000    78.9       39.62781   4287.000   
3985.461   47.60000   86.9000    8.98000    76.6       39.35501   4333.000   
3985.309   48.10000   93.4000    8.97000    78.0       39.08409   4364.000   
3985.157   48.00000   105.7000   8.98000    80.9       38.99419   4389.000   
3985.004   48.30000   118.1000   8.99000    80.5       38.99419   4386.000   
3984.852   49.10000   123.8000   9.00000    77.4       38.99419   4435.000   
3984.699   49.30000   121.6000   8.99000    75.5       38.99419   4422.000   
3984.547   49.60000   114.9000   9.00000    76.2       39.08409   4342.000   
3984.395   51.30000   106.7000   9.00000    84.9       39.17419   4240.000   
3984.242   50.60000   98.6000    8.98000    110.2      39.26449   4211.000   
3984.090   50.60000   94.2000    9.00000    144.2      39.17419   4240.000   
3983.938   50.70000   93.9000    8.98000    139.6      38.90452   4280.000   
