WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       CALI       GR         MSFL       TT1        TT2        TT3        TT4        DT         ITT        ILD        ILM        TENS       
M          IN         GAPI       OHMM       US         US         US         US         US/F       MS         OHMM       OHMM       LB         
3997.196   10.50047   33.4396    3.750      291.0000   286.0000   408.0000   407.0000   58.62244   0.0        98.622     81.977     4173.314   
3997.044   10.75011   34.9233    3.101      289.0000   286.0000   407.0000   406.0000   58.49586   0.0        104.490    85.070     4170.265   
3996.891   11.00751   36.9873    2.868      289.0000   284.0000   405.0000   404.0000   58.41449   0.0        106.105    82.789     4170.875   
3996.739   11.18025   38.6875    2.354      288.0000   285.0000   405.0000   400.0000   58.24332   0.0        103.236    79.936     4176.975   
3996.586   11.30479   39.5247    3.077      286.0000   284.0000   402.0000   396.0000   58.26233   0.0        100.152    80.156     4181.244   
3996.434   11.39403   42.3641    3.213      286.0000   285.0000   402.0000   396.0000   58.31553   0.0        98.927     81.115     4191.310   
3996.282   11.46749   44.5276    1.659      287.0000   284.0000   400.0000   397.0000   58.23105   0.0        98.248     79.687     4191.615   
3996.129   11.55988   46.9914    1.241      287.0000   283.0000   402.0000   396.0000   58.01281   0.0        97.239     73.451     4203.204   
3995.977   11.81383   46.0094    1.426      286.0000   287.0000   405.0000   395.0000   58.00462   0.0        96.421     65.882     4186.734   
3995.825   12.01097   43.7514    2.581      286.0000   283.0000   404.0000   398.0000   58.03176   0.0        94.491     60.584     4187.345   
3995.672   12.03823   42.1118    2.646      286.0000   281.0000   409.0000   401.0000   58.05326   0.0        93.593     58.039     4186.734   
3995.520   11.74755   42.8937    1.959      286.0000   283.0000   410.0000   402.0000   58.05788   0.0        93.196     57.389     4176.670   
3995.367   11.55300   43.2772    1.465      287.0000   282.0000   409.0000   402.0000   57.89037   0.0        93.108     57.458     4170.875   
3995.215   11.54812   44.3864    2.334      288.0000   282.0000   410.0000   403.0000   57.89553   0.0        91.067     56.148     4171.790   
3995.062   11.39202   45.1680    2.268      288.0000   285.0000   404.0000   401.0000   58.15367   0.0        87.768     53.031     4176.975   
3994.910   10.97651   49.6122    2.393      288.0000   285.0000   405.0000   400.0000   58.55740   0.0        84.164     50.912     4176.670   
3994.758   10.45054   55.9862    3.717      291.0000   289.0000   404.0000   400.0000   58.83552   0.0        81.779     51.331     4182.465   
3994.605   10.18568   61.2724    34.763     287.0000   286.0000   403.0000   401.0000   58.98105   0.0        80.753     53.786     4176.060   
3994.453   10.16703   61.2831    14.970     289.0000   286.0000   409.0000   401.0000   58.80223   0.0        81.839     55.493     4175.755   
3994.300   10.15010   55.8554    19.033     287.0000   288.0000   406.0000   405.0000   58.57635   0.0        84.214     53.958     4170.875   
3994.148   10.15297   47.1656    2000.000   288.0000   290.0000   406.0000   406.0000   58.39037   0.0        86.820     50.775     4164.164   
3993.996   10.12542   39.3612    2000.000   292.0000   292.0000   407.0000   408.0000   58.50414   0.0        89.636     49.962     4168.739   
3993.843   10.10935   33.3681    59.185     290.0000   291.0000   409.0000   412.0000   58.82684   0.0        91.618     53.411     4173.314   
3993.691   10.10333   30.2044    36.961     289.0000   292.0000   416.0000   414.0000   59.26997   1.000000   92.597     61.733     4201.984   
3993.539   10.10046   28.6570    35.156     290.0000   293.0000   414.0000   413.0000   59.55939   0.0        91.898     73.384     4209.305   
3993.386   10.10620   27.7119    36.303     292.0000   293.0000   414.0000   412.0000   59.75565   0.0        89.349     83.829     4216.015   
3993.234   10.11308   29.2202    40.844     294.0000   292.0000   416.0000   410.0000   59.89037   0.0        84.531     84.528     4231.265   
3993.082   10.11997   33.0693    26.818     294.0000   291.0000   417.0000   411.0000   60.03893   0.0        78.952     73.909     4216.015   
3992.929   10.13661   39.6307    16.261     295.0000   290.0000   419.0000   413.0000   60.07221   0.0        73.479     60.225     4207.475   
3992.776   10.14408   46.7317    15.963     297.0000   292.0000   420.0000   415.0000   60.00000   0.0        68.563     50.073     4137.935   
3992.624   10.16101   52.1416    23.140     301.0000   297.0000   421.0000   414.0000   59.89602   0.0        64.666     44.008     4122.075   
3992.472   10.15842   53.4078    28.814     300.0000   295.0000   424.0000   417.0000   59.99848   0.0        60.645     41.493     4147.695   
3992.319   10.21179   50.8978    21.111     300.0000   297.0000   427.0000   422.0000   60.21259   0.0        55.876     41.912     4164.164   
3992.167   10.39573   45.9178    3.368      301.0000   297.0000   428.0000   423.0000   60.30326   0.0        50.648     46.411     4192.835   
3992.015   10.65771   42.1817    1.716      303.0000   304.0000   429.0000   423.0000   60.21823   0.0        46.868     52.681     4193.444   
3991.862   11.04395   43.8819    1.003      306.0000   303.0000   428.0000   424.0000   60.36122   0.0        44.436     61.743     4188.260   
3991.710   11.31741   53.9476    1.173      308.0000   304.0000   426.0000   424.0000   60.84427   0.0        43.270     54.100     4181.550   
3991.557   11.51540   70.5176    1.748      309.0000   307.0000   426.0000   425.0000   61.88374   0.0        42.258     40.977     4171.484   
3991.405   11.48728   85.5774    2.997      311.0000   310.0000   430.0000   429.0000   62.67867   0.0        40.334     29.914     4174.535   
3991.252   11.42616   95.2039    2.128      313.0000   313.0000   436.0000   431.0000   62.92522   0.0        37.027     24.970     4178.500   
3991.100   11.36102   96.8566    2.566      311.0000   310.0000   444.0000   435.0000   62.63520   0.0        34.687     23.184     4186.124   
3990.948   11.35385   94.4247    2.855      308.0000   308.0000   438.0000   439.0000   62.24696   0.0        32.901     24.360     4180.024   
3990.795   11.39575   92.8847    2.115      311.0000   308.0000   435.0000   435.0000   61.92316   0.0        32.642     25.766     4161.115   
3990.643   11.50593   92.3279    1.388      312.0000   307.0000   433.0000   428.0000   61.92365   0.0        30.983     27.275     4153.185   
3990.491   11.59690   92.1032    1.460      311.0000   308.0000   432.0000   425.0000   61.94776   0.0        30.344     27.444     4136.715   
3990.338   11.66232   92.7545    1.868      310.0000   305.0000   431.0000   424.0000   61.82835   0.0        29.810     26.695     4139.460   
3990.186   11.61469   91.9567    1.581      309.0000   305.0000   429.0000   425.0000   61.62245   0.0        31.239     25.571     4147.390   
3990.033   11.48384   89.3450    1.471      309.0000   305.0000   427.0000   423.0000   61.19977   0.0        33.413     24.573     4148.000   
3989.881   11.28642   86.4364    1.564      308.0000   304.0000   421.0000   421.0000   60.76130   0.0        37.850     24.514     4141.899   
3989.729   11.05887   83.7205    2.085      308.0000   304.0000   420.0000   416.0000   60.42213   0.0        41.538     25.803     4140.984   
3989.576   10.89645   81.7982    3.770      303.0000   297.0000   415.0000   413.0000   60.21823   0.0        48.098     28.089     4127.564   
3989.424   10.74925   80.3123    10.672     297.0000   293.0000   412.0000   411.0000   59.70231   0.0        56.457     30.566     4131.835   
3989.271   10.64824   74.5577    22.849     294.0000   290.0000   411.0000   408.0000   58.73972   0.0        67.233     32.713     4130.005   
3989.119   10.53806   66.0066    30.018     292.0000   287.0000   410.0000   406.0000   57.39037   0.0        76.256     35.486     4137.935   
3988.966   10.44795   57.2206    29.048     288.0000   282.0000   408.0000   404.0000   56.18192   0.0        82.692     40.961     4161.115   
3988.814   10.39257   53.5006    52.290     287.0000   282.0000   404.0000   403.0000   55.63734   0.0        88.608     50.859     4175.755   
3988.662   10.35125   53.6530    63.206     288.0000   284.0000   403.0000   399.0000   55.86990   0.0        98.013     61.778     4188.870   
3988.509   10.34351   56.6718    50.906     291.0000   285.0000   403.0000   397.0000   56.60246   1.000000   109.141    64.348     4185.210   
3988.357   10.34178   58.9062    33.245     291.0000   286.0000   406.0000   398.0000   57.46258   0.0        118.530    57.754     4182.770   
