WellName:  1API 0001  PR
Field:     PR-01
Operator:  PETROBRAS
Country:   BRA
RunNumber: 0

DEPT       GR         CALI       MSFL       DT         TT1        TT2        TT3        TT4        TENS       
M          GAPI       IN         OHMM       US/F       US         US         US         US         LB         
3877.105   18.2000    7.48000    9.18       65.70000   324.0000   326.0000   460.0000   462.0000   4172.000   
3876.953   17.9000    7.53000    9.73       65.70000   325.0000   328.0000   457.0000   460.0000   4172.000   
3876.800   17.2000    7.44000    9.73       65.89999   323.0000   326.0000   456.0000   458.0000   4177.000   
3876.648   16.6000    7.47000    10.00      66.00000   321.0000   324.0000   456.0000   459.0000   4182.000   
3876.495   16.8000    7.44000    10.99      65.89999   320.0000   323.0000   457.0000   457.0000   4191.000   
3876.343   17.5000    7.44000    12.36      65.70000   320.0000   323.0000   455.0000   456.0000   4191.000   
3876.190   18.2000    7.64000    13.00      65.59999   319.0000   322.0000   453.0000   455.0000   4191.000   
3876.038   18.6000    7.51000    12.68      65.20000   318.0000   320.0000   452.0000   454.0000   4187.000   
3875.886   18.7000    7.65000    11.78      64.70000   316.0000   320.0000   452.0000   455.0000   4187.000   
3875.733   19.3000    7.51000    11.38      64.00000   316.0000   320.0000   451.0000   452.0000   4196.000   
3875.581   19.8000    7.50000    12.05      63.20000   319.0000   322.0000   450.0000   452.0000   4196.000   
3875.429   19.4000    7.53000    13.90      63.00000   319.0000   321.0000   448.0000   450.0000   4182.000   
3875.276   19.0000    7.61000    17.58      62.90000   317.0000   319.0000   448.0000   450.0000   4167.000   
3875.124   19.6000    7.61000    21.28      62.80000   314.0000   318.0000   446.0000   446.0000   4167.000   
3874.971   20.6000    7.65000    22.75      62.90000   313.0000   317.0000   442.0000   444.0000   4187.000   
3874.819   20.6000    7.63000    22.23      63.00000   312.0000   317.0000   440.0000   443.0000   4221.000   
3874.667   19.6000    7.68000    21.78      62.90000   310.0000   316.0000   441.0000   444.0000   4196.000   
3874.514   18.6000    7.65000    21.28      62.80000   310.0000   314.0000   440.0000   444.0000   4191.000   
3874.362   17.7000    7.68000    20.84      63.00000   312.0000   316.0000   437.0000   443.0000   4172.000   
3874.209   17.3000    7.65000    19.63      63.50000   308.0000   313.0000   436.0000   440.0000   4148.000   
3874.057   17.5000    7.68000    19.23      63.90001   308.0000   314.0000   436.0000   441.0000   4157.000   
3873.904   18.0000    7.70000    18.88      63.80000   307.0000   312.0000   435.0000   440.0000   4162.000   
3873.752   18.2000    7.71000    17.86      63.60001   307.0000   314.0000   435.0000   440.0000   4167.000   
3873.600   18.2000    7.75000    16.67      63.80000   309.0000   315.0000   436.0000   441.0000   4172.000   
3873.447   17.9000    7.79000    15.42      64.20000   308.0000   315.0000   435.0000   441.0000   4172.000   
3873.295   17.1000    7.87000    13.52      64.70000   309.0000   316.0000   435.0000   442.0000   4167.000   
3873.143   16.7000    7.74000    11.78      64.70000   309.0000   315.0000   437.0000   444.0000   4162.000   
3872.990   17.1000    7.71000    11.38      64.20000   309.0000   317.0000   441.0000   446.0000   4162.000   
3872.838   17.7000    7.75000    12.22      64.00000   310.0000   317.0000   441.0000   445.0000   4172.000   
3872.686   17.9000    7.78000    13.71      64.00000   311.0000   318.0000   440.0000   445.0000   4177.000   
3872.533   17.6000    7.87000    13.52      64.30000   311.0000   317.0000   441.0000   446.0000   4162.000   
3872.380   17.5000    7.80000    12.05      64.39999   311.0000   317.0000   440.0000   446.0000   4157.000   
