Rock Code Depth(m) RHOB GR SP DT
Conglomerate 42.0 2060.0 2.3025642485672857 18.794803875254093 -49.58874358420982 124.4273535857532
Conglomerate 42.0 2070.0 2.3095105781087577 23.08731030398048 -29.614234445308032 114.8794579102613
Conglomerate 42.0 2080.0 2.1070142102313683 26.08302209629612 -47.50639652125581 129.00763528179579
Conglomerate 42.0 2090.0 2.0978053541164794 18.176251489236293 -44.42650386442669 120.50116858731293
Conglomerate 42.0 2100.0 2.192102022354057 11.420881173665096 -31.13480784426419 101.89649231554792
Conglomerate 42.0 2110.0 2.2474456313097364 28.036491761767692 -45.531438080076704 120.43407372968541
Conglomerate 42.0 2120.0 2.088066283090434 29.93902738352159 -36.4469563873552 115.97271712448395
Conglomerate 42.0 2130.0 2.323545521688793 11.085574938579569 -60.12437594526615 113.21636015752665
Conglomerate 42.0 2140.0 2.478648732553056 16.558632816495315 -47.84291304116008 117.52399278928806
Conglomerate 42.0 2150.0 2.2489579411423466 18.0583519759517 -34.72239424440228 49.21448344144574
Conglomerate 42.0 2160.0 2.156750518833788 20.979360441644012 -48.680244451998576 122.34727487395868
Conglomerate 42.0 2170.0 2.230893352992001 24.490325152110252 -44.78760374089384 66.79291848184485
Conglomerate 42.0 2180.0 2.3973509549129255 10.895048145636345 -40.666361589301204 150.15061471939006
Conglomerate 42.0 2190.0 2.233138778497389 21.271858830429775 -65.2126961936987 86.7706089250038
Conglomerate 42.0 2200.0 2.1992843412014045 22.376179505347036 -31.96125916425402 109.24448265197066
Conglomerate 42.0 2210.0 2.1764951104404866 22.021335471934083 -50.889729388914105 136.20458035850163
Conglomerate 42.0 2220.0 2.1966011218061765 13.507465665808976 -28.660251887786988 95.04506176319859
Conglomerate 42.0 2230.0 2.31413303727419 26.618375870959795 -32.23594412892208 91.98321427873164
Conglomerate 42.0 2240.0 2.3221512706276584 33.53179795857365 -54.291882556845074 143.80960641608058
Conglomerate 42.0 2250.0 2.127739114291712 14.584822835400793 -31.806058905728197 121.81562626491764
