Lito            Codigo        Depth(m)        GR            RHOB        DT            SP
arenito         49.0        3147.5172        39.4442        2.6557        55.8578        36.8517
arenito         49.0        3147.3648        37.3073        2.6344        55.5946        38.0606
arenito         49.0        3147.2124        35.8211        2.6399        55.7594        39.2083
arenito         49.0        3147.0600        34.9384        2.6326        55.6712        40.0332
arenito         49.0        3146.9076        34.2934        2.6173        55.6006        40.7859
arenito         49.0        3146.7552        33.1565        2.6223        55.4956        41.3579
arenito         49.0        3146.6028        31.7499        2.6461        55.1027        41.8593
arenito         49.0        3146.4504        31.5115        2.6381        54.7886        42.0000
arenito         49.0        3146.2980        32.6618        2.6240        54.8626        42.7257
arenito         49.0        3146.1456        34.1082        2.6101        55.0228        43.7270
arenito         49.0        3145.9932        35.8095        2.6169        55.2055        44.7297
arenito         49.0        3145.8408        39.1536        2.6159        55.8319        45.9166
arenito         49.0        3145.6884        45.6430        2.6162        57.6202        46.9845
diamictito         44.0        3145.5360        56.6195        2.6340        60.2815        48.5401
diamictito         44.0        3145.3836        60.6073        2.6704        62.3302        49.9260
diamictito         44.0        3145.2312        60.4900        2.6610        62.8589        50.9920
diamictito         44.0        3145.0788        61.5827        2.6570        61.7191        51.6224
diamictito         44.0        3144.9264        63.8544        2.6819        60.1858        51.9371
diamictito         44.0        3144.7740        65.7167        2.6674        59.4737        52.1880
diamictito         44.0        3144.6216        66.8031        2.6555        60.2112        52.4383
diamictito         44.0        3144.4692        67.3651        2.6608        61.3756        52.5000
diamictito         44.0        3144.3168        67.3610        2.6607        61.6249        52.6899
diamictito         44.0        3144.1644        66.3559        2.6570        61.5759        52.7500
diamictito         44.0        3144.0120        63.5905        2.6499        60.8925        52.7500
diamictito         44.0        3143.8596        59.8387        2.6587        59.5596        52.9418
diamictito         44.0        3143.7072        55.1765        2.6612        58.1255        53.1926
diamictito         44.0        3143.5548        50.4729        2.6656        56.4800        52.8642
diamictito         44.0        3143.4024        47.2641        2.6724        55.1050        52.5564
diamictito         44.0        3143.2500        45.9973        2.6818        54.4381        52.3055
diamictito         44.0        3143.0976        45.7560        2.6676        54.4058        51.6656
diamictito         44.0        3142.9452        46.8532        2.6591        54.7715        51.1090
diamictito         44.0        3142.7928        48.2235        2.6604        55.6354        50.8036
diamictito         44.0        3142.6404        49.8688        2.6752        55.9988        50.7500
diamictito         44.0        3142.4880        51.1242        2.6814        56.0019        50.7500
diamictito         44.0        3142.3356        51.6579        2.6971        56.1467        50.7500
diamictito         44.0        3142.1832        51.7952        2.6906        56.1093        50.5508
diamictito         44.0        3142.0308        51.5114        2.6944        56.0504        50.5000
diamictito         44.0        3141.8784        50.5354        2.7040        55.9622        50.5000
diamictito         44.0        3141.7260        49.4674        2.7060        55.8248        50.5000
diamictito         44.0        3141.5736        48.1153        2.6899        55.4812        50.5000
diamictito         44.0        3141.4212        44.9301        2.6763        55.1680        50.2979
diamictito         44.0        3141.2688        41.3196        2.6691        54.8736        50.0470
diamictito         44.0        3141.1164        37.5358        2.6664        54.1827        49.7968
diamictito         44.0        3140.9640        34.7414        2.6717        53.6375        49.5460
diamictito         44.0        3140.8116        35.0706        2.6533        53.2270        49.2951
diamictito         44.0        3140.6592        37.5905        2.6498        53.3576        49.0442
diamictito         44.0        3140.5068        40.5648        2.6418        53.8842        49.0000
diamictito         44.0        3140.3544        43.2619        2.6623        54.3513        49.4135
diamictito         44.0        3140.2020        45.2098        2.6695        54.9552        49.9153
diamictito         44.0        3140.0496        46.1378        2.6692        55.4286        50.0000
diamictito         44.0        3139.8972        46.5143        2.6590        55.4212        50.0000
diamictito         44.0        3139.7448        46.8780        2.6402        55.3641        49.7905
diamictito         44.0        3139.5924        46.5601        2.6463        55.3561        49.3292
diamictito         44.0        3139.4400        45.9838        2.6463        55.2326        49.2500
diamictito         44.0        3139.2876        45.5091        2.6460        55.0028        49.4614
diamictito         44.0        3139.1352        45.7579        2.6596        54.9236        49.5000
diamictito         44.0        3138.9828        45.8144        2.6663        54.8331        49.5000
diamictito         44.0        3138.8304        46.0702        2.6636        55.0687        49.5000
diamictito         44.0        3138.6780        46.3711        2.6776        55.3211        49.7142
diamictito         44.0        3138.5256        46.5426        2.6954        55.5238        49.7500
diamictito         44.0        3138.3732        47.0155        2.6808        55.6779        49.7500
diamictito         44.0        3138.2208        47.8659        2.6659        55.5716        49.5339
diamictito         44.0        3138.0684        48.6384        2.6545        55.5517        49.5000
diamictito         44.0        3137.9160        48.5421        2.6539        55.4243        49.2828
diamictito         44.0        3137.7636        48.4473        2.6470        55.4476        49.2500
diamictito         44.0        3137.6112        48.7001        2.6548        55.5395        49.4689
diamictito         44.0        3137.4588        48.7374        2.6350        55.5517        49.7191
diamictito         44.0        3137.3064        49.5943        2.6338        55.5517        49.9698
diamictito         44.0        3137.1540        49.7780        2.6446        55.5517        50.6622
diamictito         44.0        3137.0016        49.5218        2.6504        55.5949        51.6337
diamictito         44.0        3136.8492        49.0216        2.6528        55.6439        52.4152
diamictito         44.0        3136.6968        48.6286        2.6548        55.6059        52.5000
diamictito         44.0        3136.5444        47.8504        2.6496        55.7317        52.7235
diamictito         44.0        3136.3920        47.2936        2.6615        55.6597        52.7500
diamictito         44.0        3136.2396        47.7096        2.6558        55.6933        52.5255
diamictito         44.0        3136.0872        48.3037        2.6496        55.7424        52.7254
diamictito         44.0        3135.9348        48.7685        2.6598        55.7472        53.2012
diamictito         44.0        3135.7824        48.7445        2.6302        55.7029        53.7028
diamictito         44.0        3135.6300        48.4649        2.6279        55.7428        54.2046
diamictito         44.0        3135.4776        48.3008        2.6463        55.7918        54.4782
diamictito         44.0        3135.3252        48.6985        2.6416        55.7961        54.9567
diamictito         44.0        3135.1728        48.6000        2.6291        55.8857        55.2292
diamictito         44.0        3135.0204        48.3806        2.6243        55.9388        55.4801
diamictito         44.0        3134.8680        48.7769        2.6397        55.6276        55.5000
diamictito         44.0        3134.7156        48.4660        2.6493        55.5554        55.5000
diamictito         44.0        3134.5632        48.4377        2.6519        55.5517        55.2680
diamictito         44.0        3134.4108        48.9944        2.6594        55.6424        55.0179
diamictito         44.0        3134.2584        49.5960        2.6796        55.6494        55.0000
diamictito         44.0        3134.1060        49.7070        2.6904        55.8781        55.0000
diamictito         44.0        3133.9536        49.6414        2.6816        56.0316        54.7653
diamictito         44.0        3133.8012        49.2847        2.6697        56.1783        54.9849
diamictito         44.0        3133.6488        48.8381        2.6718        56.0489        55.7072
diamictito         44.0        3133.4964        47.4645        2.7023        55.9942        56.6965
diamictito         44.0        3133.3440        46.3236        2.7002        55.6675        56.7500
diamictito         44.0        3133.1916        46.9053        2.6677        55.4636        56.9876
diamictito         44.0        3133.0392        47.5822        2.6555        55.4539        57.0000
diamictito         44.0        3132.8868        47.8278        2.6483        55.8739        57.0000
diamictito         44.0        3132.7344        47.1200        2.6451        56.1280        57.0000
diamictito         44.0        3132.5820        46.7282        2.6479        56.0443        57.0000
diamictito         44.0        3132.4296        47.5096        2.6461        55.9933        57.4826
diamictito         44.0        3132.2772        48.6239        2.6363        55.9916        57.5000
diamictito         44.0        3132.1248        48.9531        2.6399        55.8969        57.5000
diamictito         44.0        3131.9724        48.6707        2.6702        55.7988        57.7432
diamictito         44.0        3131.8200        49.2460        2.6895        55.6534        57.7500
diamictito         44.0        3131.6676        49.1889        2.6929        55.5540        58.2384
diamictito         44.0        3131.5152        48.2320        2.6538        55.1683        58.7401
diamictito         44.0        3131.3628        47.9916        2.6432        55.0163        59.2419
diamictito         44.0        3131.2104        48.7995        2.6420        55.5432        59.4961
diamictito         44.0        3131.0580        50.9595        2.6578        56.5657        59.7470
diamictito         44.0        3130.9056        53.5867        2.6778        58.5167        59.7500
diamictito         44.0        3130.7532        55.3933        2.6840        59.9395        59.7500
diamictito         44.0        3130.6008        58.6159        2.6750        60.9243        59.9988
diamictito         44.0        3130.4484        62.4493        2.6780        61.3683        60.2497
diamictito         44.0        3130.2960        65.0747        2.6820        61.5153        60.2500
diamictito         44.0        3130.1436        66.3554        2.6670        61.2195        61.0015
diamictito         44.0        3129.9912        68.0112        2.6680        60.3419        61.5000
diamictito         44.0        3129.8388        69.7953        2.6633        60.2889        61.4950
diamictito         44.0        3129.6864        69.4828        2.6948        59.8523        60.9974
diamictito         44.0        3129.5340        67.9869        2.6738        59.7638        60.7395
diamictito         44.0        3129.3816        67.0777        2.6566        60.3336        59.9956
diamictito         44.0        3129.2292        65.7909        2.6322        59.8454        59.7410
